date;value;daily_value
2017-06-09;2.21;0.008407789724396153
2017-06-08;2.19;0.008332516225628694
2017-06-07;2.18;0.008294873972780614
2017-06-06;2.14;0.008144268254994813
2017-06-05;2.18;0.008294873972780614
2017-06-02;2.15;0.008181925191830253
2017-06-01;2.21;0.008407789724396153
2017-05-31;2.21;0.008407789724396153
2017-05-30;2.21;0.008407789724396153
2017-05-26;2.25;0.008558292714377913
2017-05-25;2.25;0.008558292714377913
2017-05-24;2.26;0.008595909297781645
2017-05-23;2.29;0.008708737065732386
2017-05-22;2.25;0.008558292714377913
2017-05-19;2.23;0.008483048552077044
2017-05-18;2.23;0.008483048552077044
2017-05-17;2.22;0.008445420971758821
2017-05-16;2.33;0.00885912282424517
2017-05-15;2.34;0.008896710114103534
2017-05-12;2.33;0.00885912282424517
2017-05-11;2.39;0.00908459170043674
2017-05-10;2.41;0.009159718745577194
2017-05-09;2.42;0.009197276787542563
2017-05-08;2.39;0.00908459170043674
2017-05-05;2.36;0.00897187371908803
2017-05-04;2.36;0.00897187371908803
2017-05-03;2.33;0.00885912282424517
2017-05-02;2.29;0.008708737065732386
2017-05-01;2.33;0.00885912282424517
2017-04-28;2.29;0.008708737065732386
2017-04-27;2.3;0.008746338996656888
2017-04-26;2.32;0.008821531875202737
2017-04-25;2.35;0.008934293745488375
2017-04-24;2.28;0.008671131472759441
2017-04-21;2.24;0.008520672466039159
2017-04-20;2.24;0.008520672466039159
2017-04-19;2.21;0.008407789724396153
2017-04-18;2.18;0.008294873972780614
2017-04-17;2.26;0.008595909297781645
2017-04-13;2.24;0.008520672466039159
2017-04-12;2.28;0.008671131472759441
2017-04-11;2.32;0.008821531875202737
2017-04-10;2.37;0.009009450035657451
2017-04-07;2.38;0.009047022695862772
2017-04-06;2.34;0.008896710114103534
2017-04-05;2.34;0.008896710114103534
2017-04-04;2.36;0.00897187371908803
2017-04-03;2.35;0.008934293745488375
2017-03-31;2.4;0.0091221570501121
2017-03-30;2.42;0.009197276787542563
2017-03-29;2.39;0.00908459170043674
2017-03-28;2.42;0.009197276787542563
2017-03-27;2.38;0.009047022695862772
2017-03-24;2.4;0.0091221570501121
2017-03-23;2.41;0.009159718745577194
2017-03-22;2.4;0.0091221570501121
2017-03-21;2.43;0.00923483117671875
2017-03-20;2.47;0.009385012219920164
2017-03-17;2.5;0.009497609683006836
2017-03-16;2.53;0.009610174322238763
2017-03-15;2.51;0.009535134875560125
2017-03-14;2.6;0.00987269760663878
2017-03-13;2.62;0.009947671488697019
2017-03-10;2.58;0.00979770916458289
2017-03-09;2.6;0.00987269760663878
2017-03-08;2.57;0.00976020948177947
2017-03-07;2.52;0.009572656421741321
2017-03-06;2.49;0.009460080843348706
2017-03-03;2.49;0.009460080843348706
2017-03-02;2.49;0.009460080843348706
2017-03-01;2.46;0.009347472434728665
2017-02-28;2.36;0.00897187371908803
2017-02-27;2.36;0.00897187371908803
2017-02-24;2.31;0.008783937266243491
2017-02-23;2.38;0.009047022695862772
2017-02-22;2.42;0.009197276787542563
2017-02-21;2.43;0.00923483117671875
2017-02-17;2.42;0.009197276787542563
2017-02-16;2.45;0.00930992899961236
2017-02-15;2.51;0.009535134875560125
2017-02-14;2.47;0.009385012219920164
2017-02-13;2.43;0.00923483117671875
2017-02-10;2.41;0.009159718745577194
2017-02-09;2.4;0.0091221570501121
2017-02-08;2.34;0.008896710114103534
2017-02-07;2.4;0.0091221570501121
2017-02-06;2.42;0.009197276787542563
2017-02-03;2.49;0.009460080843348706
2017-02-02;2.48;0.009422548355897398
2017-02-01;2.48;0.009422548355897398
2017-01-31;2.45;0.00930992899961236
2017-01-30;2.49;0.009460080843348706
2017-01-27;2.49;0.009460080843348706
2017-01-26;2.51;0.009535134875560125
2017-01-25;2.53;0.009610174322238763
2017-01-24;2.47;0.009385012219920164
2017-01-23;2.41;0.009159718745577194
2017-01-20;2.48;0.009422548355897398
2017-01-19;2.47;0.009385012219920164
2017-01-18;2.42;0.009197276787542563
2017-01-17;2.33;0.00885912282424517
2017-01-13;2.4;0.0091221570501121
2017-01-12;2.36;0.00897187371908803
2017-01-11;2.38;0.009047022695862772
2017-01-10;2.38;0.009047022695862772
2017-01-09;2.38;0.009047022695862772
2017-01-06;2.42;0.009197276787542563
2017-01-05;2.37;0.009009450035657451
2017-01-04;2.46;0.009347472434728665
2017-01-03;2.45;0.00930992899961236
2016-12-30;2.45;0.00930992899961236
2016-12-29;2.49;0.009460080843348706
2016-12-28;2.51;0.009535134875560125
2016-12-27;2.57;0.00976020948177947
2016-12-23;2.55;0.009685199189091165
2016-12-22;2.55;0.009685199189091165
2016-12-21;2.55;0.009685199189091165
2016-12-20;2.57;0.00976020948177947
2016-12-19;2.54;0.0096476885778074
2016-12-16;2.6;0.00987269760663878
2016-12-15;2.6;0.00987269760663878
2016-12-14;2.54;0.0096476885778074
2016-12-13;2.48;0.009422548355897398
2016-12-12;2.49;0.009460080843348706
2016-12-09;2.47;0.009385012219920164
2016-12-08;2.4;0.0091221570501121
2016-12-07;2.34;0.008896710114103534
2016-12-06;2.39;0.00908459170043674
2016-12-05;2.39;0.00908459170043674
2016-12-02;2.4;0.0091221570501121
2016-12-01;2.45;0.00930992899961236
2016-11-30;2.37;0.009009450035657451
2016-11-29;2.3;0.008746338996656888
2016-11-28;2.32;0.008821531875202737
2016-11-25;2.36;0.00897187371908803
2016-11-23;2.36;0.00897187371908803
2016-11-22;2.31;0.008783937266243491
2016-11-21;2.33;0.00885912282424517
2016-11-18;2.34;0.008896710114103534
2016-11-17;2.29;0.008708737065732386
2016-11-16;2.22;0.008445420971758821
2016-11-15;2.23;0.008483048552077044
2016-11-14;2.23;0.008483048552077044
2016-11-10;2.15;0.008181925191830253
2016-11-09;2.07;0.007880566818552204
2016-11-08;1.88;0.007163896642192746
2016-11-07;1.83;0.006975077937809715
2016-11-04;1.79;0.006823956465984438
2016-11-03;1.82;0.006937303114407101
2016-11-02;1.81;0.006899524595094242
2016-11-01;1.83;0.006975077937809715
2016-10-31;1.84;0.007012849066101445
2016-10-28;1.86;0.007088380240105607
2016-10-27;1.85;0.0070506164999484255
2016-10-26;1.79;0.006823956465984438
2016-10-25;1.77;0.006748373544684938
2016-10-24;1.77;0.006748373544684938
2016-10-21;1.74;0.006634971414687385
2016-10-20;1.76;0.006710576535162716
2016-10-19;1.76;0.006710576535162716
2016-10-18;1.75;0.006672775825400379
2016-10-17;1.77;0.006748373544684938
2016-10-14;1.8;0.006861742379205005
2016-10-13;1.75;0.006672775825400379
2016-10-12;1.79;0.006823956465984438
2016-10-11;1.77;0.006748373544684938
2016-10-07;1.73;0.0065971633023131915
2016-10-06;1.75;0.006672775825400379
2016-10-05;1.72;0.0065593514875228465
2016-10-04;1.69;0.006445893821482862
2016-10-03;1.63;0.00621887842637836
2016-09-30;1.6;0.0061053206579897434
2016-09-29;1.56;0.0059538583306428805
2016-09-28;1.57;0.005991729482834884
2016-09-27;1.56;0.0059538583306428805
2016-09-26;1.59;0.006067460645775569
2016-09-23;1.62;0.006181029547569494
2016-09-22;1.63;0.00621887842637836
2016-09-21;1.66;0.0063324028076516825
2016-09-20;1.69;0.006445893821482862
2016-09-19;1.7;0.006483716747829327
2016-09-16;1.7;0.006483716747829327
2016-09-15;1.71;0.006521535969605807
2016-09-14;1.7;0.006483716747829327
2016-09-13;1.73;0.0065971633023131915
2016-09-12;1.68;0.006408067189811462
2016-09-09;1.67;0.006370236852126787
2016-09-08;1.61;0.006143176958350871
2016-09-07;1.54;0.005878104881174018
2016-09-06;1.55;0.005915983463666841
2016-09-02;1.6;0.0061053206579897434
2016-09-01;1.57;0.005991729482834884
2016-08-31;1.58;0.0060295969209755995
2016-08-30;1.57;0.005991729482834884
2016-08-29;1.57;0.005991729482834884
2016-08-26;1.62;0.006181029547569494
2016-08-25;1.58;0.0060295969209755995
2016-08-24;1.56;0.0059538583306428805
2016-08-23;1.55;0.005915983463666841
2016-08-22;1.55;0.005915983463666841
2016-08-19;1.58;0.0060295969209755995
2016-08-18;1.53;0.005840222582453869
2016-08-17;1.56;0.0059538583306428805
2016-08-16;1.57;0.005991729482834884
2016-08-15;1.55;0.005915983463666841
2016-08-12;1.51;0.0057644468333339915
2016-08-11;1.57;0.005991729482834884
2016-08-10;1.5;0.005726553381490973
2016-08-09;1.55;0.005915983463666841
2016-08-08;1.59;0.006067460645775569
2016-08-05;1.59;0.006067460645775569
2016-08-04;1.51;0.0057644468333339915
2016-08-03;1.55;0.005915983463666841
2016-08-02;1.55;0.005915983463666841
2016-08-01;1.51;0.0057644468333339915
2016-07-29;1.46;0.005574942375075054
2016-07-28;1.52;0.005802336566751443
2016-07-27;1.52;0.005802336566751443
2016-07-26;1.57;0.005991729482834884
2016-07-25;1.58;0.0060295969209755995
2016-07-22;1.57;0.005991729482834884
2016-07-21;1.57;0.005991729482834884
2016-07-20;1.59;0.006067460645775569
2016-07-19;1.56;0.0059538583306428805
2016-07-18;1.59;0.006067460645775569
2016-07-15;1.6;0.0061053206579897434
2016-07-14;1.53;0.005840222582453869
2016-07-13;1.48;0.005650755319552836
2016-07-12;1.53;0.005840222582453869
2016-07-11;1.43;0.005461195040834532
2016-07-08;1.37;0.005233599796605759
2016-07-07;1.4;0.005347414187939492
2016-07-06;1.38;0.005271541654772172
2016-07-05;1.37;0.005233599796605759
2016-07-01;1.46;0.005574942375075054
2016-06-30;1.49;0.005688656210467435
2016-06-29;1.5;0.005726553381490973
2016-06-28;1.46;0.005574942375075054
2016-06-27;1.46;0.005574942375075054
2016-06-24;1.57;0.005991729482834884
2016-06-23;1.74;0.006634971414687385
2016-06-22;1.69;0.006445893821482862
2016-06-21;1.71;0.006521535969605807
2016-06-20;1.67;0.006370236852126787
2016-06-17;1.62;0.006181029547569494
2016-06-16;1.57;0.005991729482834884
2016-06-15;1.6;0.0061053206579897434
2016-06-14;1.62;0.006181029547569494
2016-06-13;1.62;0.006181029547569494
2016-06-10;1.64;0.006256723595510216
2016-06-09;1.68;0.006408067189811462
2016-06-08;1.71;0.006521535969605807
2016-06-07;1.72;0.0065593514875228465
2016-06-06;1.73;0.0065971633023131915
2016-06-03;1.71;0.006521535969605807
2016-06-02;1.81;0.006899524595094242
2016-06-01;1.85;0.0070506164999484255
2016-05-31;1.84;0.007012849066101445
2016-05-27;1.85;0.0070506164999484255
2016-05-26;1.83;0.006975077937809715
2016-05-25;1.87;0.007126140287261329
2016-05-24;1.86;0.007088380240105607
2016-05-23;1.84;0.007012849066101445
2016-05-20;1.85;0.0070506164999484255
2016-05-19;1.85;0.0070506164999484255
2016-05-18;1.87;0.007126140287261329
2016-05-17;1.76;0.006710576535162716
2016-05-16;1.75;0.006672775825400379
2016-05-13;1.71;0.006521535969605807
2016-05-12;1.75;0.006672775825400379
2016-05-11;1.73;0.0065971633023131915
2016-05-10;1.77;0.006748373544684938
2016-05-09;1.77;0.006748373544684938
2016-05-06;1.79;0.006823956465984438
2016-05-05;1.76;0.006710576535162716
2016-05-04;1.79;0.006823956465984438
2016-05-03;1.81;0.006899524595094242
2016-05-02;1.88;0.007163896642192746
2016-04-29;1.83;0.006975077937809715
2016-04-28;1.84;0.007012849066101445
2016-04-27;1.87;0.007126140287261329
2016-04-26;1.94;0.007390357274905668
2016-04-25;1.91;0.007277143560679988
2016-04-22;1.89;0.007201649305588198
2016-04-21;1.88;0.007163896642192746
2016-04-20;1.85;0.0070506164999484255
2016-04-19;1.79;0.006823956465984438
2016-04-18;1.78;0.006786166854721998
2016-04-15;1.76;0.006710576535162716
2016-04-14;1.8;0.006861742379205005
2016-04-13;1.77;0.006748373544684938
2016-04-12;1.79;0.006823956465984438
2016-04-11;1.73;0.0065971633023131915
2016-04-08;1.72;0.0065593514875228465
2016-04-07;1.7;0.006483716747829327
2016-04-06;1.76;0.006710576535162716
2016-04-05;1.73;0.0065971633023131915
2016-04-04;1.78;0.006786166854721998
2016-04-01;1.79;0.006823956465984438
2016-03-31;1.78;0.006786166854721998
2016-03-30;1.83;0.006975077937809715
2016-03-29;1.81;0.006899524595094242
2016-03-28;1.89;0.007201649305588198
2016-03-24;1.91;0.007277143560679988
2016-03-23;1.88;0.007163896642192746
2016-03-22;1.94;0.007390357274905668
2016-03-21;1.92;0.007314885153819617
2016-03-18;1.88;0.007163896642192746
